id,descricao,data,data_vencimento,valor,categoria,forma_pagamento,status,observacoes,anexo,criado_em,atualizado_em,centro_custo_id,usuario_id
1,"TINTA PRETA",2025-06-26,2025-06-26,88,operacional,pix,R,"","","2025-06-27 03:38:22.606000","2025-06-27 03:38:57.305000",1,1
2,RETARDADOR,2025-06-26,2025-06-26,50,operacional,pix,R,"","","2025-06-27 03:39:29.470000","2025-06-27 03:39:29.470000",1,1
3,"KSK embalagens",2025-06-26,2025-06-26,136.07,fornecedor,pix,R,"","","2025-06-27 19:17:14.466000","2025-06-27 19:17:14.466000",1,1
4,instagran,2025-07-01,2025-07-01,60,marketing,pix,R,"impulsa├º├úo redes sociais","","2025-07-01 18:40:36.388000","2025-07-01 18:40:36.388000",,1
5,"MELHOR ENVIO",2025-06-27,2025-06-27,56.39,outros,pix,R,"","","2025-07-01 19:14:31.602000","2025-07-01 19:14:31.602000",1,1
6,"MELHOR ENVIO",2025-06-27,2025-06-27,39.29,outros,pix,R,"","","2025-07-01 19:15:13.633000","2025-07-01 19:15:13.633000",1,1
7,"MELHOR ENVIO",2025-06-30,2025-07-30,30.21,outros,pix,R,"","","2025-07-01 19:15:48.334000","2025-07-01 19:15:48.334000",1,1
8,"KSK EMBALAGENS",2025-07-03,2025-07-03,224.89,fornecedor,pix,R,"","","2025-07-03 16:14:15.724000","2025-07-03 16:14:15.724000",1,1
9,LALAMOVE,2025-07-03,2025-07-03,36.35,outros,pix,R,"","","2025-07-03 16:15:31.823000","2025-07-03 16:15:31.823000",1,1
10,INSTAGRAN,2025-07-03,2025-07-03,50,marketing,pix,R,"","","2025-07-03 16:16:05.791000","2025-07-03 16:16:05.791000",,1
11,"grafica futuraim",2025-07-03,2025-07-03,150.98,fornecedor,pix,R,"","","2025-07-03 18:30:51.430000","2025-07-03 18:30:51.430000",1,1
12,uber,2025-07-05,2025-07-05,12.18,operacional,pix,R,"uber papelaria","","2025-07-05 13:47:54.682000","2025-07-05 13:47:54.682000",,1
13,"comiss├úo T├ónia",2025-07-05,2025-07-05,20,outros,pix,R,"referente o pedido 0001","","2025-07-05 23:04:51.195000","2025-07-05 23:06:08.063000",4,1
14,"KSK EMBALAGENS",2025-07-07,2025-07-07,238.34,fornecedor,pix,R,"","","2025-07-07 19:08:26.720000","2025-07-07 19:08:26.720000",1,1
15,"KSK EMBALAGENS",2025-07-07,2025-07-07,392.6,fornecedor,pix,R,"","","2025-07-07 19:08:59.353000","2025-07-07 19:08:59.353000",1,1
16,INSTAGRAN,2025-07-07,2025-07-07,50,marketing,dinheiro,R,"","","2025-07-07 19:09:28.167000","2025-07-07 19:09:28.167000",2,1
17,"melhor envio",2025-07-08,2025-07-08,19.12,operacional,pix,R,"","","2025-07-08 16:53:54.015000","2025-07-08 16:53:54.015000",3,1
18,DTF,2025-07-08,2025-07-08,44.98,operacional,pix,R,"","","2025-07-08 19:25:32.377000","2025-07-08 19:25:32.377000",1,1
19,DTF,2025-07-07,2025-07-07,163.02,operacional,pix,R,"","","2025-07-08 19:26:36.703000","2025-07-08 19:26:36.703000",1,1
20,"compra de camisetas",2025-07-08,2025-07-08,183.1,operacional,pix,R,"","","2025-07-08 19:28:26.100000","2025-07-08 19:28:26.100000",1,1
21,"KSK AMBALAGENS",2025-07-08,2025-07-08,442.41,fornecedor,pix,R,"","","2025-07-09 15:00:35.119000","2025-07-09 15:00:35.119000",1,1
22,"UBER ENTREGA",2025-07-09,2025-07-09,19.5,outros,pix,R,"","","2025-07-09 15:06:33.663000","2025-07-09 15:06:33.663000",3,1
23,"uber entrega pedido 00003",2025-07-09,2025-07-09,19.5,operacional,pix,R,"","","2025-07-09 15:47:33.870000","2025-07-09 15:47:33.870000",3,1
24,"melhor envio",2025-07-10,2025-07-10,59.78,outros,pix,R,"","","2025-07-10 13:21:10.671369","2025-07-10 13:21:10.671391",3,1
25,envio,2025-07-10,2025-07-10,28.16,outros,pix,R,"","","2025-07-10 15:48:34.165378","2025-07-10 15:48:34.165393",3,1
26,uber,2025-07-10,2025-07-10,10.97,outros,pix,R,"","","2025-07-10 17:19:55.799327","2025-07-10 17:19:55.799372",3,1
27,envio,2025-07-10,2025-07-10,84.32,outros,pix,R,"","","2025-07-10 17:52:08.787472","2025-07-10 17:52:08.787488",3,1
28,"campra de tinta e retardador",2025-07-10,2025-07-10,104,fornecedor,pix,R,"","","2025-07-10 19:07:59.201746","2025-07-10 19:07:59.201763",1,1
